
2025/05/01 (17:14:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/01 (17:14:47) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/05/01 (20:00:01) | ===> btop++ v.1.4.0
2025/05/01 (20:00:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/01 (20:00:01) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/05/02 (19:46:53) | ===> btop++ v.1.4.0
2025/05/02 (19:46:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/02 (19:46:54) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/05/03 (11:57:34) | ===> btop++ v.1.4.0
2025/05/03 (11:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (17:21:35) | ===> btop++ v.1.4.0
2025/05/03 (17:21:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/03 (17:21:36) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/05/05 (21:29:55) | ===> btop++ v.1.4.0
2025/05/05 (21:29:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/05 (21:29:55) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...
